AlertID,ClaimID,PolicyID,DetectionDate,FraudType,ModelScore,InvestigationStatus,Outcome
12001390,8032679,5002337,2024-06-17,Identity Theft,0.765,Closed,NotConfirmed
12001391,8011253,5029242,2024-08-31,Provider Collusion,0.865,InProgress,Confirmed
12001392,8002267,5005690,2020-12-05,Inflated Repair,0.822,InProgress,Confirmed
12001393,8043894,5010883,2025-06-19,Inflated Repair,0.287,Open,Confirmed
12001394,8038393,5024706,2021-07-01,Inflated Repair,0.836,InProgress,Confirmed
12001395,8000997,5024745,2025-05-26,Provider Collusion,0.42,Closed,Confirmed
12001396,8002527,5000672,2023-04-11,Upcoding,0.712,InProgress,Confirmed
12001397,8031843,5024480,2024-07-27,Inflated Repair,0.127,Closed,Inconclusive
12001398,8028844,5025967,2025-09-24,Duplicate Claim,0.295,Open,Inconclusive
12001399,8014933,5016025,2025-01-18,Identity Theft,0.577,Closed,NotConfirmed
12001400,8002190,5027599,2022-03-19,Duplicate Claim,0.653,InProgress,NotConfirmed
12001401,8005910,5017684,2025-02-21,Identity Theft,0.437,Open,NotConfirmed
12001402,8043685,5028713,2023-10-17,Provider Collusion,0.49,Open,Confirmed
12001403,8035670,5011681,2021-04-17,Staged Accident,0.287,Open,NotConfirmed
12001404,8023486,5000006,2025-04-18,Staged Accident,0.672,InProgress,NotConfirmed
12001405,8044880,5006270,2021-07-31,Upcoding,0.373,Open,Confirmed
12001406,8043513,5011471,2024-11-22,Staged Accident,0.14,Open,Confirmed
12001407,8016159,5006116,2021-07-01,Duplicate Claim,0.419,InProgress,Confirmed
12001408,8042250,5011658,2024-09-17,Provider Collusion,0.905,InProgress,Confirmed
12001409,8028308,5023013,2021-04-06,Staged Accident,0.813,Closed,NotConfirmed
12001410,8013726,5011936,2021-04-18,Upcoding,0.796,Closed,Confirmed
12001411,8022420,5019330,2022-12-16,Duplicate Claim,0.448,Closed,Confirmed
12001412,8036046,5022246,2021-03-21,Inflated Repair,0.326,Open,NotConfirmed
12001413,8037315,5028207,2024-10-25,Provider Collusion,0.595,InProgress,Confirmed
12001414,8022734,5021325,2026-02-02,Duplicate Claim,0.477,InProgress,Confirmed
12001415,8012668,5014389,2021-04-22,Provider Collusion,0.968,InProgress,Confirmed
12001416,8015822,5013494,2023-08-18,Inflated Repair,0.839,Open,NotConfirmed
12001417,8021515,5021253,2025-02-14,Identity Theft,0.673,Open,NotConfirmed
12001418,8031044,5005955,2025-05-16,Duplicate Claim,0.94,Open,NotConfirmed
12001419,8024016,5015948,2025-10-15,Staged Accident,0.586,Open,Confirmed
12001420,8001348,5011133,2022-01-03,Inflated Repair,0.571,Open,Inconclusive
12001421,8040652,5022238,2021-06-02,Upcoding,0.596,Closed,Inconclusive
12001422,8039040,5014571,2024-03-20,Upcoding,0.973,InProgress,Inconclusive
12001423,8029486,5005973,2023-05-20,Duplicate Claim,0.242,Open,Confirmed
12001424,8019647,5017319,2024-12-21,Duplicate Claim,0.154,InProgress,NotConfirmed
12001425,8029552,5012681,2020-12-01,Provider Collusion,0.533,Open,NotConfirmed
12001426,8007136,5016481,2021-06-05,Upcoding,0.463,Closed,Inconclusive
12001427,8037259,5006870,2025-10-25,Provider Collusion,0.406,InProgress,NotConfirmed
12001428,8030923,5008282,2023-06-09,Staged Accident,0.954,InProgress,NotConfirmed
12001429,8000629,5021361,2026-03-12,Identity Theft,0.793,Open,NotConfirmed
12001430,8030656,5017160,2025-03-15,Staged Accident,0.58,InProgress,Confirmed
12001431,8012422,5021085,2022-09-08,Upcoding,0.119,Closed,NotConfirmed
12001432,8034779,5000782,2022-06-25,Inflated Repair,0.791,Open,Inconclusive
12001433,8011612,5008240,2022-08-19,Duplicate Claim,0.357,InProgress,Confirmed
12001434,8015954,5028126,2020-12-28,Identity Theft,0.203,Open,NotConfirmed
12001435,8042354,5009881,2024-12-11,Identity Theft,0.416,InProgress,NotConfirmed
12001436,8021593,5020878,2025-03-25,Inflated Repair,0.742,Open,Confirmed
12001437,8015571,5021052,2021-12-11,Staged Accident,0.133,InProgress,Inconclusive
12001438,8005474,5021998,2023-06-06,Inflated Repair,0.814,InProgress,Confirmed
12001439,8036764,5008796,2020-07-17,Inflated Repair,0.374,InProgress,Inconclusive
12001440,8031720,5007347,2021-05-08,Inflated Repair,0.844,Open,Confirmed
12001441,8022461,5017144,2024-07-21,Inflated Repair,0.711,Open,Confirmed
12001442,8040944,5022251,2024-07-18,Upcoding,0.597,Open,NotConfirmed
12001443,8022964,5025763,2021-09-23,Inflated Repair,0.201,Open,NotConfirmed
12001444,8026762,5000101,2021-10-18,Staged Accident,0.11,Open,Confirmed
12001445,8026683,5003584,2021-06-05,Inflated Repair,0.81,Open,NotConfirmed
12001446,8043039,5006773,2021-01-19,Inflated Repair,0.192,Open,Inconclusive
12001447,8013961,5007114,2021-10-08,Provider Collusion,0.598,InProgress,Confirmed
12001448,8008351,5021092,2021-08-19,Upcoding,0.794,InProgress,NotConfirmed
12001449,8001939,5021046,2021-11-28,Duplicate Claim,0.865,InProgress,Confirmed
12001450,8038214,5026998,2021-12-07,Provider Collusion,0.64,InProgress,Confirmed
12001451,8042026,5016850,2023-10-31,Duplicate Claim,0.983,Closed,NotConfirmed
12001452,8039867,5019308,2026-03-20,Inflated Repair,0.324,Open,Confirmed
12001453,8024774,5028512,2022-12-03,Provider Collusion,0.292,InProgress,Confirmed
12001454,8010757,5014092,2021-01-10,Inflated Repair,0.275,InProgress,Inconclusive
12001455,8007802,5002656,2023-08-30,Upcoding,0.156,Closed,Confirmed
12001456,8029644,5004510,2025-03-07,Staged Accident,0.699,Closed,NotConfirmed
12001457,8008152,5016363,2021-06-03,Staged Accident,0.469,Closed,NotConfirmed
12001458,8039186,5023322,2022-01-01,Upcoding,0.249,InProgress,Confirmed
12001459,8002402,5005541,2022-12-04,Inflated Repair,0.73,Closed,NotConfirmed
12001460,8009555,5018000,2022-09-13,Duplicate Claim,0.726,InProgress,NotConfirmed
12001461,8034087,5015995,2024-11-27,Duplicate Claim,0.855,Open,Confirmed
12001462,8026639,5023856,2025-02-28,Duplicate Claim,0.273,Open,Inconclusive
12001463,8015950,5006849,2022-11-03,Inflated Repair,0.573,InProgress,NotConfirmed
12001464,8015456,5009384,2020-03-14,Provider Collusion,0.257,InProgress,NotConfirmed
12001465,8027701,5017548,2023-09-29,Staged Accident,0.456,Open,NotConfirmed
12001466,8023463,5023382,2022-06-20,Staged Accident,0.633,InProgress,Confirmed
12001467,8033446,5011176,2024-09-23,Inflated Repair,0.772,Open,Confirmed
12001468,8026202,5004830,2021-09-26,Inflated Repair,0.43,Closed,Inconclusive
12001469,8007125,5005350,2022-10-01,Staged Accident,0.362,Open,NotConfirmed
12001470,8040548,5026280,2024-11-09,Provider Collusion,0.759,InProgress,Confirmed
12001471,8022035,5007338,2021-07-09,Duplicate Claim,0.825,InProgress,Confirmed
12001472,8004230,5019040,2024-07-27,Provider Collusion,0.508,Open,Inconclusive
12001473,8038618,5007696,2024-02-24,Staged Accident,0.922,InProgress,NotConfirmed
12001474,8039450,5008554,2023-01-13,Identity Theft,0.659,InProgress,NotConfirmed
12001475,8013703,5023473,2025-01-12,Duplicate Claim,0.832,InProgress,NotConfirmed
12001476,8035541,5015689,2023-09-06,Staged Accident,0.878,Open,NotConfirmed
12001477,8016723,5018008,2021-09-08,Inflated Repair,0.296,Closed,Confirmed
12001478,8016869,5004808,2021-02-13,Staged Accident,0.31,InProgress,Confirmed
12001479,8008067,5017777,2024-09-08,Staged Accident,0.777,InProgress,Inconclusive
12001480,8016900,5009907,2021-05-27,Identity Theft,0.197,Open,Inconclusive
12001481,8000896,5002302,2021-01-02,Duplicate Claim,0.864,Open,Confirmed
12001482,8013611,5005540,2021-08-28,Identity Theft,0.175,Open,Confirmed
12001483,8014104,5029685,2025-03-13,Inflated Repair,0.252,Open,NotConfirmed
12001484,8028310,5020938,2024-10-15,Inflated Repair,0.414,InProgress,Confirmed
12001485,8000424,5011117,2020-12-31,Duplicate Claim,0.436,InProgress,NotConfirmed
12001486,8027889,5027182,2022-08-01,Staged Accident,0.124,Closed,NotConfirmed
12001487,8006154,5000237,2023-10-13,Provider Collusion,0.403,Open,NotConfirmed
12001488,8030967,5003917,2022-08-25,Staged Accident,0.57,InProgress,Inconclusive
12001489,8023906,5021821,2022-10-31,Duplicate Claim,0.767,Open,NotConfirmed
12001490,8012104,5028570,2025-05-02,Inflated Repair,0.847,Closed,Confirmed
12001491,8026412,5026460,2022-06-13,Provider Collusion,0.937,InProgress,Inconclusive
12001492,8000777,5015220,2023-08-10,Inflated Repair,0.466,Open,Inconclusive
12001493,8026141,5029491,2021-04-25,Inflated Repair,0.211,Closed,NotConfirmed
12001494,8022722,5026164,2022-02-17,Staged Accident,0.735,InProgress,Inconclusive
12001495,8036171,5003669,2021-06-14,Staged Accident,0.105,Open,NotConfirmed
12001496,8020057,5002088,2025-03-14,Duplicate Claim,0.403,Open,Inconclusive
12001497,8037504,5013138,2022-07-18,Inflated Repair,0.685,InProgress,Inconclusive
12001498,8002637,5014770,2024-10-14,Identity Theft,0.257,Open,NotConfirmed
12001499,8027740,5009451,2023-05-25,Inflated Repair,0.716,Open,Confirmed
12001500,8032356,5012635,2020-05-29,Duplicate Claim,0.606,Open,Confirmed
12001501,8041806,5025547,2026-01-21,Staged Accident,0.251,InProgress,NotConfirmed
12001502,8005736,5020079,2024-03-21,Staged Accident,0.259,Closed,Confirmed
12001503,8027300,5023224,2025-09-07,Identity Theft,0.976,InProgress,NotConfirmed
12001504,8037244,5027097,2021-12-31,Inflated Repair,0.378,Open,NotConfirmed
12001505,8015087,5012319,2020-07-16,Duplicate Claim,0.217,Closed,Confirmed
12001506,8021699,5009868,2026-08-09,Inflated Repair,0.59,Closed,Confirmed
12001507,8037695,5004565,2025-08-13,Inflated Repair,0.314,InProgress,NotConfirmed
12001508,8032155,5029281,2024-08-01,Provider Collusion,0.773,Closed,Confirmed
12001509,8004999,5018144,2021-02-12,Duplicate Claim,0.546,Open,NotConfirmed
12001510,8001204,5005747,2025-01-22,Inflated Repair,0.306,Open,NotConfirmed
12001511,8037708,5029589,2025-07-25,Staged Accident,0.133,InProgress,Inconclusive
12001512,8009119,5028753,2020-10-31,Upcoding,0.168,Closed,NotConfirmed
12001513,8026985,5018900,2021-03-25,Duplicate Claim,0.401,Open,Inconclusive
12001514,8017469,5021733,2026-01-10,Upcoding,0.114,Open,NotConfirmed
12001515,8002763,5003928,2024-04-24,Inflated Repair,0.908,Open,Confirmed
12001516,8000870,5019220,2021-07-16,Provider Collusion,0.414,InProgress,Inconclusive
12001517,8008942,5023452,2022-06-04,Upcoding,0.323,InProgress,Confirmed
12001518,8040080,5013799,2021-06-15,Upcoding,0.158,InProgress,NotConfirmed
12001519,8020138,5019708,2025-09-22,Inflated Repair,0.81,Open,Confirmed
12001520,8012449,5028218,2020-08-25,Upcoding,0.43,Open,NotConfirmed
12001521,8019857,5006930,2024-03-08,Inflated Repair,0.691,InProgress,NotConfirmed
12001522,8002348,5014551,2022-10-20,Inflated Repair,0.814,Open,Inconclusive
12001523,8030047,5027048,2022-01-31,Inflated Repair,0.405,Closed,NotConfirmed
12001524,8043489,5015145,2025-06-01,Identity Theft,0.37,InProgress,Confirmed
12001525,8014259,5013724,2026-03-05,Inflated Repair,0.444,InProgress,NotConfirmed
12001526,8031665,5006636,2022-11-13,Staged Accident,0.904,Open,Inconclusive
12001527,8018973,5000312,2021-10-21,Upcoding,0.213,Closed,NotConfirmed
12001528,8041410,5018790,2020-09-30,Staged Accident,0.71,InProgress,NotConfirmed
12001529,8008072,5003189,2024-02-08,Staged Accident,0.872,InProgress,Confirmed
12001530,8014641,5002687,2024-12-27,Staged Accident,0.798,Open,NotConfirmed
12001531,8024544,5012571,2020-05-19,Identity Theft,0.613,Closed,Confirmed
12001532,8025693,5025539,2025-03-02,Duplicate Claim,0.851,Open,Inconclusive
12001533,8022509,5026640,2023-12-31,Provider Collusion,0.89,Open,Inconclusive
12001534,8038299,5026479,2026-06-26,Identity Theft,0.412,Open,Confirmed
12001535,8007545,5007320,2024-07-06,Upcoding,0.167,Closed,Confirmed
12001536,8025995,5023876,2021-09-19,Staged Accident,0.299,Closed,NotConfirmed
12001537,8028930,5025071,2025-05-15,Provider Collusion,0.78,Open,Confirmed
12001538,8000773,5015661,2022-05-09,Upcoding,0.494,Open,Confirmed
12001539,8010272,5023606,2021-10-03,Inflated Repair,0.575,Open,Inconclusive
12001540,8003766,5016474,2021-03-12,Identity Theft,0.377,InProgress,Confirmed
12001541,8041897,5016159,2023-12-31,Inflated Repair,0.374,Closed,NotConfirmed
12001542,8000399,5025076,2024-01-27,Staged Accident,0.911,InProgress,Inconclusive
12001543,8044195,5008898,2023-08-18,Provider Collusion,0.275,Open,Confirmed
12001544,8040480,5029760,2025-10-27,Identity Theft,0.269,Closed,Confirmed
12001545,8021639,5025896,2025-02-10,Provider Collusion,0.556,InProgress,Confirmed
12001546,8042828,5001078,2024-11-20,Inflated Repair,0.298,Open,Confirmed
12001547,8035537,5023361,2021-08-15,Staged Accident,0.324,Open,Confirmed
12001548,8012191,5003815,2024-03-26,Duplicate Claim,0.631,Open,Confirmed
12001549,8000507,5017314,2025-01-10,Inflated Repair,0.677,Open,Confirmed
12001550,8004780,5020041,2023-09-26,Inflated Repair,0.81,InProgress,NotConfirmed
12001551,8007090,5006251,2025-10-13,Duplicate Claim,0.644,Closed,NotConfirmed
12001552,8031078,5004908,2025-05-10,Provider Collusion,0.846,Closed,Confirmed
12001553,8021056,5024787,2023-10-18,Staged Accident,0.949,Closed,Inconclusive
12001554,8032624,5006717,2026-03-16,Identity Theft,0.477,InProgress,Confirmed
12001555,8030241,5026733,2025-08-23,Staged Accident,0.159,Open,Inconclusive
12001556,8019743,5017563,2023-01-03,Duplicate Claim,0.479,Open,Confirmed
12001557,8017067,5012312,2026-05-17,Duplicate Claim,0.201,InProgress,NotConfirmed
12001558,8000840,5002132,2023-02-25,Inflated Repair,0.118,InProgress,Confirmed
12001559,8043607,5021825,2022-03-22,Duplicate Claim,0.69,Open,NotConfirmed
12001560,8026418,5002912,2023-12-09,Upcoding,0.157,Closed,NotConfirmed
12001561,8028127,5010758,2025-01-23,Upcoding,0.91,InProgress,Confirmed
12001562,8025039,5029795,2024-03-28,Identity Theft,0.381,Open,Confirmed
12001563,8013060,5005776,2025-11-05,Duplicate Claim,0.21,Open,NotConfirmed
12001564,8008815,5023517,2020-10-16,Duplicate Claim,0.809,Open,Confirmed
12001565,8012700,5024099,2024-01-24,Duplicate Claim,0.306,InProgress,Inconclusive
12001566,8036942,5027459,2021-12-29,Identity Theft,0.64,Closed,NotConfirmed
12001567,8025874,5021837,2024-04-09,Duplicate Claim,0.401,Closed,Inconclusive
12001568,8007887,5005512,2023-02-10,Staged Accident,0.446,Open,Confirmed
12001569,8037473,5003459,2021-01-07,Inflated Repair,0.736,Open,NotConfirmed
12001570,8025437,5014492,2022-05-19,Identity Theft,0.397,Open,NotConfirmed
12001571,8008526,5008594,2024-09-25,Duplicate Claim,0.63,Open,NotConfirmed
12001572,8004806,5022754,2021-02-24,Inflated Repair,0.597,Closed,Confirmed
12001573,8006446,5012533,2023-12-24,Duplicate Claim,0.846,InProgress,NotConfirmed
12001574,8038975,5015449,2021-09-05,Inflated Repair,0.425,Open,Confirmed
12001575,8026214,5013655,2026-03-28,Provider Collusion,0.213,InProgress,Confirmed
12001576,8000355,5028502,2024-02-10,Identity Theft,0.365,InProgress,NotConfirmed
12001577,8010977,5029849,2022-10-06,Duplicate Claim,0.562,Closed,Inconclusive
12001578,8011523,5020137,2024-10-10,Inflated Repair,0.957,InProgress,NotConfirmed
12001579,8038276,5027059,2024-05-27,Upcoding,0.837,Open,Inconclusive
12001580,8042528,5005065,2022-08-03,Duplicate Claim,0.946,Open,NotConfirmed
12001581,8018419,5014094,2024-08-28,Duplicate Claim,0.42,Closed,Confirmed
12001582,8015033,5029180,2020-12-10,Inflated Repair,0.95,Open,Inconclusive
12001583,8003097,5017642,2020-11-12,Upcoding,0.913,Open,Confirmed
12001584,8022194,5024404,2021-01-20,Upcoding,0.208,InProgress,NotConfirmed
12001585,8014754,5011848,2023-04-18,Inflated Repair,0.162,Open,NotConfirmed
12001586,8014639,5007115,2025-05-13,Inflated Repair,0.296,Open,Confirmed
12001587,8008467,5020426,2021-10-28,Identity Theft,0.135,Open,NotConfirmed
12001588,8032688,5027888,2021-07-11,Staged Accident,0.211,Closed,NotConfirmed
12001589,8025652,5025286,2023-02-18,Inflated Repair,0.538,Open,Confirmed
12001590,8000764,5012459,2021-09-29,Upcoding,0.424,Closed,NotConfirmed
12001591,8025458,5023159,2022-01-09,Identity Theft,0.657,Closed,NotConfirmed
12001592,8003141,5022748,2021-02-07,Upcoding,0.97,InProgress,Confirmed
12001593,8014285,5010734,2024-09-10,Identity Theft,0.481,Closed,NotConfirmed
12001594,8010180,5010888,2021-04-30,Provider Collusion,0.481,InProgress,NotConfirmed
12001595,8009322,5006917,2024-02-06,Duplicate Claim,0.111,Closed,NotConfirmed
12001596,8019478,5023092,2021-01-18,Inflated Repair,0.657,InProgress,Confirmed
12001597,8021197,5012934,2020-11-19,Duplicate Claim,0.569,Closed,Confirmed
12001598,8032949,5009857,2022-09-19,Inflated Repair,0.23,InProgress,NotConfirmed
12001599,8003724,5013601,2022-08-21,Provider Collusion,0.537,InProgress,Confirmed
12001600,8000180,5006320,2022-03-01,Identity Theft,0.128,Closed,Inconclusive
12001601,8021349,5000620,2023-08-21,Provider Collusion,0.43,Open,NotConfirmed
12001602,8034763,5013624,2022-08-01,Provider Collusion,0.956,InProgress,NotConfirmed
12001603,8027103,5011288,2025-01-31,Staged Accident,0.637,InProgress,Confirmed
12001604,8030640,5004272,2025-05-19,Staged Accident,0.318,Closed,Confirmed
12001605,8009953,5011508,2022-10-30,Inflated Repair,0.91,InProgress,Confirmed
12001606,8012329,5020596,2025-05-30,Staged Accident,0.946,Closed,Confirmed
12001607,8029865,5007630,2024-05-01,Duplicate Claim,0.751,InProgress,NotConfirmed
12001608,8032280,5015250,2025-03-20,Provider Collusion,0.396,InProgress,Confirmed
12001609,8021757,5021300,2024-02-26,Inflated Repair,0.668,InProgress,NotConfirmed
12001610,8031867,5004341,2023-05-16,Provider Collusion,0.42,InProgress,Confirmed
12001611,8035346,5000230,2024-06-29,Provider Collusion,0.437,Closed,NotConfirmed
12001612,8031287,5022798,2021-05-29,Duplicate Claim,0.359,Open,Confirmed
12001613,8042006,5013914,2024-04-25,Inflated Repair,0.83,InProgress,NotConfirmed
12001614,8027366,5004676,2025-05-12,Inflated Repair,0.209,Closed,Inconclusive
12001615,8014263,5022842,2021-08-16,Inflated Repair,0.501,InProgress,NotConfirmed
12001616,8019534,5028374,2021-11-20,Duplicate Claim,0.787,InProgress,Confirmed
12001617,8007852,5017580,2021-10-22,Staged Accident,0.578,Closed,NotConfirmed
12001618,8020334,5011959,2024-08-22,Staged Accident,0.729,Open,Confirmed
12001619,8011854,5004772,2024-11-25,Duplicate Claim,0.586,InProgress,Inconclusive
12001620,8041348,5027822,2024-07-04,Provider Collusion,0.967,InProgress,Confirmed
12001621,8036168,5003906,2021-06-15,Staged Accident,0.257,InProgress,Confirmed
12001622,8016711,5004922,2025-06-29,Staged Accident,0.52,Open,NotConfirmed
12001623,8005242,5001306,2023-07-13,Upcoding,0.503,InProgress,NotConfirmed
12001624,8008108,5019270,2024-10-27,Staged Accident,0.198,InProgress,NotConfirmed
12001625,8030896,5022231,2024-09-21,Inflated Repair,0.406,Closed,Confirmed
12001626,8015204,5004575,2025-04-22,Staged Accident,0.821,InProgress,Confirmed
12001627,8001138,5024074,2024-08-23,Inflated Repair,0.416,Closed,NotConfirmed
12001628,8000793,5017916,2025-07-23,Inflated Repair,0.492,InProgress,Confirmed
12001629,8036231,5021120,2023-06-03,Duplicate Claim,0.295,Open,NotConfirmed
12001630,8040820,5023384,2021-07-08,Inflated Repair,0.805,Open,Confirmed
12001631,8015534,5021576,2024-05-19,Duplicate Claim,0.976,InProgress,NotConfirmed
12001632,8032620,5005656,2021-10-30,Staged Accident,0.395,Open,NotConfirmed
12001633,8044724,5009285,2021-09-01,Inflated Repair,0.676,Open,NotConfirmed
12001634,8004791,5019935,2025-07-31,Staged Accident,0.929,Open,NotConfirmed
12001635,8009008,5004139,2020-02-09,Duplicate Claim,0.828,Open,Inconclusive
12001636,8016918,5020044,2025-03-04,Inflated Repair,0.504,InProgress,Inconclusive
12001637,8041273,5000886,2022-04-26,Staged Accident,0.568,Closed,NotConfirmed
12001638,8042555,5008101,2021-06-11,Provider Collusion,0.214,Open,Confirmed
12001639,8020477,5022430,2024-05-14,Staged Accident,0.282,InProgress,Confirmed
12001640,8013253,5025085,2020-12-26,Identity Theft,0.186,InProgress,NotConfirmed
12001641,8017848,5009869,2025-05-13,Inflated Repair,0.123,InProgress,Inconclusive
12001642,8042075,5019326,2026-02-06,Provider Collusion,0.652,Open,Confirmed
12001643,8025012,5008413,2025-08-15,Provider Collusion,0.711,Open,NotConfirmed
12001644,8022055,5003861,2022-02-28,Identity Theft,0.894,Open,Confirmed
12001645,8006111,5016000,2023-10-20,Duplicate Claim,0.964,Open,NotConfirmed
12001646,8044696,5012384,2023-03-19,Inflated Repair,0.187,Open,NotConfirmed
12001647,8003425,5012469,2021-02-27,Staged Accident,0.262,InProgress,NotConfirmed
12001648,8003092,5023588,2025-05-26,Inflated Repair,0.571,Open,Confirmed
12001649,8013821,5013555,2022-08-25,Provider Collusion,0.549,Open,Confirmed
12001650,8006360,5017799,2021-03-21,Duplicate Claim,0.952,InProgress,NotConfirmed
12001651,8041690,5004585,2024-03-14,Duplicate Claim,0.892,InProgress,Confirmed
12001652,8013353,5011443,2024-04-16,Upcoding,0.423,Closed,NotConfirmed
12001653,8008422,5018619,2023-03-04,Duplicate Claim,0.338,InProgress,NotConfirmed
12001654,8003520,5012226,2023-07-22,Duplicate Claim,0.887,Closed,Confirmed
12001655,8036565,5018679,2022-05-27,Identity Theft,0.464,Open,Inconclusive
12001656,8023915,5001642,2025-02-17,Upcoding,0.199,Open,NotConfirmed
12001657,8020057,5002088,2025-02-07,Upcoding,0.225,InProgress,Inconclusive
12001658,8002885,5010274,2025-06-21,Provider Collusion,0.446,Open,NotConfirmed
12001659,8018137,5012696,2022-02-13,Duplicate Claim,0.825,Open,Confirmed
12001660,8033324,5024989,2023-08-12,Upcoding,0.378,Open,NotConfirmed
12001661,8020991,5000587,2025-12-22,Identity Theft,0.461,Closed,NotConfirmed
12001662,8000539,5012542,2022-02-21,Inflated Repair,0.564,InProgress,NotConfirmed
12001663,8019100,5026192,2021-08-17,Duplicate Claim,0.195,Open,NotConfirmed
12001664,8005945,5001258,2023-11-26,Inflated Repair,0.839,Open,Inconclusive
12001665,8027928,5011466,2023-07-16,Inflated Repair,0.66,InProgress,NotConfirmed
12001666,8002893,5021513,2022-09-21,Provider Collusion,0.595,Open,NotConfirmed
12001667,8002070,5021330,2021-05-19,Identity Theft,0.623,InProgress,Confirmed
12001668,8031071,5001756,2024-04-09,Duplicate Claim,0.716,InProgress,NotConfirmed
12001669,8032138,5005058,2022-08-11,Inflated Repair,0.281,Open,Confirmed
12001670,8012393,5011322,2020-09-21,Inflated Repair,0.362,Closed,NotConfirmed
12001671,8020948,5015594,2023-03-20,Duplicate Claim,0.35,InProgress,NotConfirmed
12001672,8013657,5002375,2025-01-22,Staged Accident,0.26,InProgress,Confirmed
12001673,8002278,5001623,2025-03-02,Identity Theft,0.699,Closed,NotConfirmed
12001674,8028295,5018841,2022-09-02,Upcoding,0.923,InProgress,NotConfirmed
12001675,8043054,5010184,2022-02-08,Upcoding,0.506,InProgress,NotConfirmed
12001676,8000152,5015963,2022-09-19,Staged Accident,0.501,Open,NotConfirmed
12001677,8021892,5024766,2023-10-05,Identity Theft,0.548,Closed,Confirmed
12001678,8016337,5022517,2023-08-26,Staged Accident,0.536,Open,NotConfirmed
12001679,8000483,5014050,2021-04-14,Identity Theft,0.582,InProgress,Confirmed
12001680,8011284,5003437,2024-09-28,Identity Theft,0.248,Closed,NotConfirmed
12001681,8009758,5029555,2023-02-23,Duplicate Claim,0.233,Open,NotConfirmed
12001682,8009874,5022067,2023-05-30,Identity Theft,0.387,Open,Confirmed
12001683,8010624,5029833,2023-11-05,Provider Collusion,0.45,InProgress,Confirmed
12001684,8023633,5001629,2025-02-15,Upcoding,0.445,InProgress,NotConfirmed
12001685,8014778,5015628,2022-01-11,Inflated Repair,0.981,Open,Confirmed
12001686,8033176,5000979,2024-11-08,Duplicate Claim,0.691,InProgress,Confirmed
12001687,8043954,5001114,2024-12-03,Staged Accident,0.429,InProgress,Confirmed
12001688,8006292,5003241,2025-12-10,Duplicate Claim,0.102,Open,Confirmed
12001689,8041465,5018461,2023-07-30,Identity Theft,0.558,InProgress,Confirmed
12001690,8012073,5001961,2025-10-28,Inflated Repair,0.278,Open,NotConfirmed
12001691,8003241,5022552,2023-04-07,Identity Theft,0.841,Open,Confirmed
12001692,8024792,5026370,2023-03-25,Identity Theft,0.629,InProgress,Confirmed
12001693,8024511,5009723,2025-02-04,Identity Theft,0.959,InProgress,Inconclusive
12001694,8028716,5027168,2022-06-12,Staged Accident,0.177,InProgress,NotConfirmed
12001695,8034923,5006846,2020-09-05,Inflated Repair,0.842,Closed,NotConfirmed
12001696,8036438,5022138,2022-12-18,Provider Collusion,0.336,Open,Confirmed
12001697,8013887,5024857,2024-07-19,Duplicate Claim,0.226,Open,NotConfirmed
12001698,8020052,5014355,2023-01-10,Identity Theft,0.1,InProgress,NotConfirmed
12001699,8011086,5005758,2021-11-07,Duplicate Claim,0.776,Closed,NotConfirmed
12001700,8000327,5014237,2025-03-18,Inflated Repair,0.528,InProgress,Confirmed
12001701,8022450,5013115,2025-07-16,Provider Collusion,0.851,InProgress,NotConfirmed
12001702,8013642,5011101,2022-10-17,Provider Collusion,0.694,InProgress,NotConfirmed
12001703,8017974,5025921,2025-12-12,Provider Collusion,0.884,Open,NotConfirmed
12001704,8010806,5003487,2025-12-19,Upcoding,0.292,Closed,NotConfirmed
12001705,8012231,5022007,2024-12-04,Upcoding,0.739,InProgress,NotConfirmed
12001706,8015866,5025156,2023-01-25,Staged Accident,0.432,Open,Confirmed
12001707,8015091,5008854,2022-03-15,Duplicate Claim,0.803,Open,Confirmed
12001708,8002211,5024250,2022-11-11,Staged Accident,0.333,InProgress,NotConfirmed
12001709,8041341,5021914,2025-06-04,Upcoding,0.118,InProgress,NotConfirmed
12001710,8013241,5008363,2021-07-16,Provider Collusion,0.533,Closed,Inconclusive
12001711,8044232,5020794,2023-11-19,Provider Collusion,0.548,Closed,NotConfirmed
12001712,8044215,5020127,2020-05-04,Duplicate Claim,0.479,Closed,Confirmed
12001713,8011268,5025466,2022-05-14,Inflated Repair,0.727,Open,NotConfirmed
12001714,8041316,5016166,2022-09-25,Duplicate Claim,0.667,Open,NotConfirmed
12001715,8025256,5026810,2024-09-22,Duplicate Claim,0.748,Open,NotConfirmed
12001716,8037077,5010863,2022-12-12,Inflated Repair,0.758,Open,NotConfirmed
12001717,8032890,5028431,2023-03-14,Inflated Repair,0.313,Open,Confirmed
12001718,8008655,5020760,2022-10-26,Upcoding,0.214,Open,NotConfirmed
12001719,8014584,5003268,2022-03-24,Inflated Repair,0.849,InProgress,NotConfirmed
12001720,8040631,5010904,2023-06-13,Identity Theft,0.503,Open,Confirmed
12001721,8001483,5026063,2022-11-28,Duplicate Claim,0.149,InProgress,Inconclusive
12001722,8000849,5017555,2021-08-07,Upcoding,0.918,InProgress,Inconclusive
12001723,8039676,5022769,2024-01-22,Duplicate Claim,0.55,Open,Inconclusive
